,FPR,FNR
0,0.321,0.55
1,0.33,0.54
2,0.284,0.594
3,0.33,0.54
4,0.359,0.512
5,0.326,0.544
6,0.329,0.55
7,0.364,0.508
8,0.339,0.538
9,0.366,0.504
10,0.332,0.534
11,0.322,0.526
12,0.345,0.508
13,0.373,0.484
14,0.345,0.502
15,0.327,0.53
16,0.302,0.546
17,0.329,0.53
18,0.362,0.49
19,0.318,0.53
20,0.292,0.526
21,0.315,0.514
22,0.332,0.504
23,0.32,0.512
24,0.307,0.512
25,0.338,0.504
26,0.313,0.516
27,0.314,0.522
28,0.324,0.512
29,0.295,0.53
30,0.315,0.546
31,0.313,0.546
32,0.347,0.486
33,0.336,0.514
34,0.332,0.494
35,0.333,0.504
36,0.376,0.464
37,0.296,0.568
38,0.369,0.476
39,0.308,0.556
40,0.301,0.522
41,0.341,0.484
42,0.292,0.53
43,0.302,0.528
44,0.292,0.524
45,0.296,0.52
46,0.35,0.488
47,0.304,0.52
48,0.322,0.502
49,0.338,0.488
50,0.308,0.534
51,0.318,0.522
52,0.284,0.55
53,0.285,0.552
54,0.29,0.544
55,0.277,0.55
56,0.289,0.548
57,0.265,0.564
58,0.277,0.552
59,0.3,0.544
60,0.318,0.5
61,0.308,0.528
62,0.291,0.54
63,0.331,0.492
64,0.341,0.492
65,0.322,0.504
66,0.298,0.532
67,0.339,0.49
68,0.311,0.516
69,0.317,0.51
70,0.319,0.524
71,0.329,0.506
72,0.356,0.482
73,0.301,0.534
74,0.325,0.508
75,0.331,0.506
76,0.304,0.53
77,0.341,0.5
78,0.341,0.494
79,0.341,0.494
80,0.364,0.474
81,0.341,0.506
82,0.332,0.506
83,0.331,0.52
84,0.343,0.498
85,0.339,0.508
86,0.333,0.516
87,0.36,0.476
88,0.305,0.54
89,0.319,0.522
90,0.336,0.476
91,0.295,0.528
92,0.318,0.514
93,0.294,0.532
94,0.318,0.512
95,0.298,0.538
96,0.315,0.506
97,0.335,0.494
98,0.297,0.528
99,0.313,0.52
